url	title	provider	monitor	os	front_cam	back_cam	cpu	ram	rom	SD	SIM	battery
https://tiki.vn/dien-thoai-xiaomi-redmi-note-7-3gb-32gb-hang-chinh-hang-p10596796.html?src=category-page-1789.1795&2hi=1	Điện Thoại Xiaomi Redmi Note 7 (3GB/32GB) - Hàng Chính Hãng	Xiaomi										
https://tiki.vn/dien-thoai-samsung-galaxy-note-10-plus-256gb-12gb-hang-chinh-hang-p22358908.html?src=category-page-1789.1795&2hi=1	Điện Thoại Samsung Galaxy Note 10 Plus (256GB/12GB) - Hàng Chính Hãng	Samsung										
https://tiki.vn/dien-thoai-nokia-5-1-plus-hang-chinh-hang-p4536405.html?src=category-page-1789.1795&2hi=0	Điện Thoại Nokia 5.1 Plus - Hàng Chính Hãng	Nokia										
https://tiki.vn/dien-thoai-samsung-galaxy-note-10-256gb-8gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p29418235.html?src=category-page-1789.1795&2hi=1	Điện Thoại Samsung Galaxy Note 10 (256GB/8GB) - Hàng Chính Hãng - Đã Kích Hoạt Bảo Hành Điện Tử	Samsung										
https://tiki.vn/dien-thoai-nokia-7-2-hang-chinh-hang-p32648392.html?src=category-page-1789.1795&2hi=1	Điện Thoại Nokia 7.2  - Hàng Chính Hãng	Nokia										
https://tiki.vn/dien-thoai-vsmart-live-4gb-64gb-hang-chinh-hang-p26021690.html?src=category-page-1789.1795&2hi=1	Điện Thoại Vsmart Live (4GB/64GB) - Hàng Chính Hãng	Vsmart										
https://tiki.vn/dien-thoai-xiaomi-mi-9-lite-mi-cc9-global-version-6gb-64gb-hang-chinh-hang-p34928767.html?src=category-page-1789.1795&2hi=1	Điện Thoại Xiaomi Mi 9 Lite (Mi CC9 Global Version) (6GB / 64GB) - Hàng Chính Hãng	Xiaomi										
https://tiki.vn/dien-thoai-oppo-f9-a11-64gb-4gb-hang-chinh-hang-p3650913.html?src=category-page-1789.1795&2hi=1	Điện Thoại OPPO F9 (A11) (64GB/4GB) - Hàng Chính Hãng	OPPO										
https://tiki.vn/dien-thoai-samsung-galaxy-note-10-256gb-8gb-hang-chinh-hang-p22356225.html?src=category-page-1789.1795&2hi=1	Điện Thoại Samsung Galaxy Note 10 (256GB/8GB) - Hàng Chính Hãng	Samsung										
https://tiki.vn/dien-thoai-vsmart-star-hang-chinh-hang-p31322859.html?src=category-page-1789.1795&2hi=1	Điện Thoại Vsmart Star - Hàng chính hãng	Vsmart										
https://tiki.vn/dien-thoai-vivo-y91c-hang-chinh-hang-p14470707.html?src=category-page-1789.1795&2hi=1	Điện Thoại Vivo Y91C - Hàng Chính Hãng	Vivo										
https://tiki.vn/dien-thoai-iphone-6s-32gb-nhap-khau-chinh-hang-p283110.html?src=category-page-1789.1795&2hi=1	Điện Thoại iPhone 6s 32GB  - Nhập Khẩu Chính Hãng	Apple										
https://tiki.vn/dien-thoai-iphone-7-plus-hang-chinh-hang-vn-a-p36699543.html?src=category-page-1789.1795&2hi=1	Điện Thoại iPhone 7 Plus - Hàng Chính Hãng VN/A	Apple										
