url	title	provider	monitor	os	front_cam	back_cam	cpu	ram	rom	SD	SIM	battery
https://thegioididong.com/dtdd/vivo-v15-64gb	Điện thoại Vivo V15 64GB	thegioididong	IPS LCD, 6.53", Full HD+	Android 9.0 (Pie)	Chính 12 MP & Phụ 8 MP, 5 MP	32 MP	MediaTek Helio P70 8 nhân	6 GB	64 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh, có sạc nhanh
https://thegioididong.com/dtdd/samsung-galaxy-a20s	Điện thoại Samsung Galaxy A20s 64GB	thegioididong	IPS LCD, 6.5", HD+	Android 9.0 (Pie)	Chính 13 MP & Phụ 8 MP, 5 MP	8 MP	Snapdragon 450 8 nhân	4 GB	64 GB	MicroSD, hỗ trợ tối đa 512 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh, có sạc nhanh
https://thegioididong.com/dtdd/oppo-a5-2020-128gb	Điện thoại OPPO A5 (2020) 128GB	thegioididong	TFT, 6.5", HD+	Android 9.0 (Pie)	Chính 12 MP & Phụ 8 MP, 2 MP, 2 MP	8 MP	Snapdragon 665 8 nhân	4 GB	128 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	5000 mAh
https://thegioididong.com/dtdd/xiaomi-redmi-note-8	Điện thoại Xiaomi Redmi Note 8 (4GB/64GB)	thegioididong	IPS LCD, 6.3", Full HD+	Android 9.0 (Pie)	Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP	13 MP	Qualcomm Snapdragon 665 8 nhân	4 GB	64 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh, có sạc nhanh
https://thegioididong.com/dtdd/realme-5-4gb	Điện thoại Realme 5 (4GB/128GB)	thegioididong	IPS LCD, 6.5", HD+	Android 9.0 (Pie)	Chính 12 MP & Phụ 8 MP, 2 MP, 2 MP	13 MP	Snapdragon 665 8 nhân	4 GB	128 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	5000 mAh
https://thegioididong.com/dtdd/xiaomi-redmi-note-7	Điện thoại Xiaomi Redmi Note 7 (4GB/64GB)	thegioididong	IPS LCD, 6.3", Full HD+	Android 9.0 (Pie)	Chính 48 MP & Phụ 5 MP	13 MP	Snapdragon 660 8 nhân	4 GB	64 GB	MicroSD, hỗ trợ tối đa 256 GB	2 SIM Nano (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G	4000 mAh, có sạc nhanh
https://thegioididong.com/dtdd/samsung-galaxy-a30-32gb	Điện thoại Samsung Galaxy A30 3GB/32GB	thegioididong	Super AMOLED, 6.4", Full HD+	Android 9.0 (Pie)	Chính 16 MP & Phụ 5 MP	16 MP	Exynos 7904 8 nhân 64-bit	3 GB	32 GB	MicroSD, hỗ trợ tối đa 512 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh, có sạc nhanh
https://thegioididong.com/dtdd/oppo-a7	Điện thoại OPPO A7	thegioididong	IPS LCD, 6.2", HD+	ColorOS 5.2 (Android 8.1)	Chính 13 MP & Phụ 2 MP	16 MP	Qualcomm Snapdragon 450 8 nhân 64-bit	4 GB	64 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	4230 mAh
https://thegioididong.com/dtdd/oppo-f9	Điện thoại OPPO F9	thegioididong	LTPS LCD, 6.3", Full HD+	ColorOS 5.2 (Android 8.1)	Chính 16 MP & Phụ 2 MP	25 MP	MediaTek Helio P60 8 nhân 64-bit	4 GB	64 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	3500 mAh, có sạc nhanh
https://thegioididong.com/dtdd/samsung-galaxy-m20	Điện thoại Samsung Galaxy M20	thegioididong	PLS TFT LCD, 6.3", Full HD+	Android 8.1 (Oreo)	Chính 13 MP & Phụ 5 MP	8 MP	Exynos 7904 8 nhân	3 GB	32 GB	MicroSD, hỗ trợ tối đa 512 GB	2 Nano SIM, Hỗ trợ 4G	5000 mAh, có sạc nhanh
